GA,1.0,2.0,3.0,2.0,16.0,13.0,15.0,13.0,12.0,14.0,34.0,55.0,114.0,133.0,228.0,9278.0,70498.0,69601.0,95470.0,88268.0,49179.0,46536.0,17510.0,57437.0,17204.0,2635.0,41924.0,11083.0,2722.0,686.0
GU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,140.0,219.0,172.0,78.0,62.0,80.0,100.0,25.0,6.0,73.0,10.0,0.0,0.0
HI,0.0,9.0,0.0,6.0,3.0,1.0,5.0,5.0,5.0,0.0,14.0,10.0,9.0,9.0,27.0,843.0,6748.0,5510.0,7449.0,7815.0,4652.0,3870.0,1757.0,6816.0,1422.0,225.0,4508.0,1070.0,206.0,47.0
IA,0.0,14.0,1.0,1.0,7.0,3.0,10.0,15.0,8.0,13.0,31.0,21.0,47.0,61.0,113.0,3195.0,24301.0,24454.0,32884.0,33276.0,18505.0,16465.0,6018.0,22518.0,6520.0,1061.0,16672.0,3073.0,1134.0,267.0
ID,0.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,7.0,18.0,21.0,36.0,1626.0,12088.0,11473.0,15137.0,14759.0,8539.0,7458.0,2529.0,10358.0,2869.0,458.0,7426.0,1653.0,542.0,116.0
IL,0.0,10.0,2.0,1.0,13.0,11.0,24.0,20.0,19.0,17.0,29.0,98.0,107.0,154.0,273.0,10952.0,88396.0,84290.0,117201.0,110480.0,63344.0,57533.0,20186.0,72607.0,20164.0,3713.0,58262.0,13233.0,3616.0,814.0
IN,0.0,15.0,2.0,2.0,5.0,6.0,9.0,15.0,6.0,18.0,12.0,43.0,75.0,87.0,132.0,5405.0,46630.0,47763.0,69509.0,62998.0,35098.0,31352.0,11404.0,43810.0,12211.0,1816.0,31329.0,6526.0,2372.0,539.0
JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
KA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KS,0.0,9.0,5.0,1.0,1.0,6.0,5.0,10.0,5.0,14.0,7.0,15.0,34.0,41.0,45.0,2593.0,21181.0,19825.0,27198.0,25385.0,14856.0,12277.0,5223.0,17420.0,5614.0,848.0,13747.0,3545.0,777.0,138.0
KY,2.0,10.0,0.0,3.0,3.0,4.0,18.0,10.0,0.0,2.0,8.0,26.0,37.0,23.0,76.0,2785.0,25814.0,26329.0,37694.0,35941.0,19728.0,16723.0,6037.0,23731.0,7889.0,1061.0,17535.0,3555.0,1261.0,265.0
Ka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA,0.0,6.0,1.0,5.0,6.0,14.0,4.0,15.0,4.0,10.0,8.0,21.0,31.0,48.0,99.0,2337.0,21357.0,20288.0,30179.0,29509.0,17172.0,15901.0,12369.0,19762.0,4544.0,545.0,10823.0,1930.0,438.0,149.0
LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,8.0,9.0,6.0,7.0,10.0,10.0,4.0,0.0,4.0,0.0,0.0,0.0
Ly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,57.0,21.0,49.0,32.0,12.0,17.0,27.0,22.0,4.0,0.0,5.0,3.0,1.0,0.0
MA,0.0,11.0,1.0,1.0,8.0,17.0,7.0,18.0,10.0,18.0,24.0,64.0,108.0,184.0,281.0,8952.0,64462.0,59845.0,81549.0,76438.0,43875.0,38602.0,12205.0,46922.0,13208.0,2576.0,37793.0,9863.0,2471.0,570.0
MB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
MD,0.0,11.0,6.0,3.0,3.0,12.0,8.0,20.0,12.0,20.0,19.0,58.0,85.0,115.0,146.0,5979.0,50925.0,41972.0,58823.0,57229.0,32153.0,28889.0,8641.0,35603.0,10412.0,1914.0,27341.0,6632.0,2018.0,387.0
ME,0.0,5.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,4.0,7.0,11.0,19.0,28.0,27.0,1255.0,9315.0,10158.0,13781.0,11714.0,6206.0,5554.0,2528.0,8049.0,2311.0,363.0,5665.0,1287.0,309.0,75.0
MI,0.0,19.0,6.0,5.0,19.0,15.0,30.0,22.0,12.0,43.0,33.0,95.0,98.0,149.0,189.0,7566.0,62342.0,61381.0,84741.0,74042.0,40507.0,36133.0,11892.0,49141.0,13950.0,2012.0,40486.0,9545.0,2378.0,556.0
MN,0.0,7.0,3.0,1.0,8.0,5.0,11.0,9.0,7.0,8.0,19.0,45.0,56.0,78.0,119.0,5968.0,45086.0,45733.0,64068.0,60034.0,35816.0,30920.0,9875.0,40814.0,10946.0,2218.0,38150.0,7482.0,2279.0,507.0
MO,0.0,14.0,1.0,2.0,8.0,5.0,12.0,21.0,8.0,9.0,16.0,52.0,49.0,71.0,121.0,5136.0,43916.0,41033.0,59550.0,55958.0,32336.0,27680.0,11229.0,37128.0,12098.0,1460.0,32675.0,7774.0,1587.0,432.0
MP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,14.0,6.0,6.0,11.0,4.0,3.0,5.0,1.0,11.0,0.0,0.0,0.0
MS,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,2.0,10.0,7.0,8.0,22.0,11.0,32.0,1391.0,12518.0,11993.0,17746.0,17265.0,9213.0,7991.0,3411.0,11837.0,3357.0,471.0,7209.0,1554.0,520.0,126.0
MT,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,5.0,8.0,5.0,14.0,11.0,970.0,7230.0,6766.0,9986.0,9557.0,5577.0,5023.0,1779.0,7036.0,1922.0,294.0,4794.0,1197.0,270.0,41.0
MZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,4.0,8.0,10.0,6.0,1.0,7.0,13.0,15.0,0.0,3.0,0.0,2.0,0.0
